#Created by linked_rxns.txt on Thu Oct 26 13:54:42 2023.
#This file shows pairs of reactions (shown in Ecoyc ID) that are linked in a pathway (also shown in Ecocyc ID). Whether a reaction is on column 1 or 2 holds no biological significance. Think of it in terms of a non-directed network.
pathway	reaction.1	reaction.2
4AMINOBUTMETAB-PWY	GABATRANSAM-RXN	SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
4AMINOBUTMETAB-PWY	GABATRANSAM-RXN	SUCCSEMIALDDEHYDROG-RXN
ACETATEUTIL-PWY	ACETATE--COA-LIGASE-RXN	PHOSACETYLTRANS-RXN
ACETATEUTIL-PWY	ACETATEKIN-RXN	ACETATE--COA-LIGASE-RXN
ACETATEUTIL-PWY	PHOSACETYLTRANS-RXN	ACETATEKIN-RXN
ALL-CHORISMATE-PWY	2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN	2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN
ALL-CHORISMATE-PWY	2-OCTAPRENYL-6-OHPHENOL-METHY-RXN	2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN
ALL-CHORISMATE-PWY	2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN	OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN
ALL-CHORISMATE-PWY	2-OCTAPRENYLPHENOL-HYDROX-RXN	2-OCTAPRENYL-6-OHPHENOL-METHY-RXN
ALL-CHORISMATE-PWY	2.5.1.19-RXN	CHORISMATE-SYNTHASE-RXN
ALL-CHORISMATE-PWY	2.5.1.64-RXN	RXN-9310
ALL-CHORISMATE-PWY	3-DEHYDROQUINATE-DEHYDRATASE-RXN	SHIKIMATE-5-DEHYDROGENASE-RXN
ALL-CHORISMATE-PWY	3-DEHYDROQUINATE-SYNTHASE-RXN	3-DEHYDROQUINATE-DEHYDRATASE-RXN
ALL-CHORISMATE-PWY	3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN	2-OCTAPRENYLPHENOL-HYDROX-RXN
ALL-CHORISMATE-PWY	4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN
ALL-CHORISMATE-PWY	ADCLY-RXN	H2PTEROATESYNTH-RXN
ALL-CHORISMATE-PWY	ANTHRANSYN-RXN	PRTRANS-RXN
ALL-CHORISMATE-PWY	CHORISMATE-SYNTHASE-RXN	ANTHRANSYN-RXN
ALL-CHORISMATE-PWY	CHORISMATE-SYNTHASE-RXN	CHORISMATEMUT-RXN
ALL-CHORISMATE-PWY	CHORISMATE-SYNTHASE-RXN	CHORPYRLY-RXN
ALL-CHORISMATE-PWY	CHORISMATE-SYNTHASE-RXN	ISOCHORSYN-RXN
ALL-CHORISMATE-PWY	CHORISMATE-SYNTHASE-RXN	PABASYN-RXN
ALL-CHORISMATE-PWY	CHORISMATEMUT-RXN	PREPHENATEDEHYDRAT-RXN
ALL-CHORISMATE-PWY	CHORISMATEMUT-RXN	PREPHENATEDEHYDROG-RXN
ALL-CHORISMATE-PWY	CHORPYRLY-RXN	4OHBENZOATE-OCTAPRENYLTRANSFER-RXN
ALL-CHORISMATE-PWY	DAHPSYN-RXN	3-DEHYDROQUINATE-SYNTHASE-RXN
ALL-CHORISMATE-PWY	DHBAMPLIG-RXN	RXN0-6442
ALL-CHORISMATE-PWY	DHBDEHYD-RXN	DHBAMPLIG-RXN
ALL-CHORISMATE-PWY	DIHYDROFOLATESYNTH-RXN	DIHYDROFOLATEREDUCT-RXN
ALL-CHORISMATE-PWY	DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN	H2NEOPTERINALDOL-RXN
ALL-CHORISMATE-PWY	DMK-RXN	ADOMET-DMK-METHYLTRANSFER-RXN
ALL-CHORISMATE-PWY	ENTDB-RXN	RXN0-6442
ALL-CHORISMATE-PWY	ENTF-RXN	RXN-15890
ALL-CHORISMATE-PWY	FPPSYN-RXN	RXN-8992
ALL-CHORISMATE-PWY	GPPSYN-RXN	FPPSYN-RXN
ALL-CHORISMATE-PWY	GTP-CYCLOHYDRO-I-RXN	H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN
ALL-CHORISMATE-PWY	H2NEOPTERINALDOL-RXN	H2PTERIDINEPYROPHOSPHOKIN-RXN
ALL-CHORISMATE-PWY	H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN	DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN
ALL-CHORISMATE-PWY	H2PTERIDINEPYROPHOSPHOKIN-RXN	H2PTEROATESYNTH-RXN
ALL-CHORISMATE-PWY	H2PTEROATESYNTH-RXN	DIHYDROFOLATESYNTH-RXN
ALL-CHORISMATE-PWY	IGPSYN-RXN	RXN0-2381
ALL-CHORISMATE-PWY	ISOCHORMAT-RXN	DHBDEHYD-RXN
ALL-CHORISMATE-PWY	ISOCHORSYN-RXN	2.5.1.64-RXN
ALL-CHORISMATE-PWY	ISOCHORSYN-RXN	ISOCHORMAT-RXN
ALL-CHORISMATE-PWY	NAPHTHOATE-SYN-RXN	RXN-9311
ALL-CHORISMATE-PWY	O-SUCCINYLBENZOATE-COA-LIG-RXN	NAPHTHOATE-SYN-RXN
ALL-CHORISMATE-PWY	O-SUCCINYLBENZOATE-COA-SYN-RXN	O-SUCCINYLBENZOATE-COA-LIG-RXN
ALL-CHORISMATE-PWY	OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN	DHHB-METHYLTRANSFER-RXN
ALL-CHORISMATE-PWY	PABASYN-RXN	ADCLY-RXN
ALL-CHORISMATE-PWY	PRAISOM-RXN	IGPSYN-RXN
ALL-CHORISMATE-PWY	PREPHENATEDEHYDRAT-RXN	RXN-10814
ALL-CHORISMATE-PWY	PREPHENATEDEHYDROG-RXN	TYROSINE-AMINOTRANSFERASE-RXN
ALL-CHORISMATE-PWY	PRTRANS-RXN	PRAISOM-RXN
ALL-CHORISMATE-PWY	RXN-15889	RXN-15890
ALL-CHORISMATE-PWY	RXN-15890	RXN-15891
ALL-CHORISMATE-PWY	RXN-15891	ENTG-RXN
ALL-CHORISMATE-PWY	RXN-8992	4OHBENZOATE-OCTAPRENYLTRANSFER-RXN
ALL-CHORISMATE-PWY	RXN-9310	O-SUCCINYLBENZOATE-COA-SYN-RXN
ALL-CHORISMATE-PWY	RXN-9311	DMK-RXN
ALL-CHORISMATE-PWY	RXN0-2381	RXN0-2382
ALL-CHORISMATE-PWY	RXN0-6442	RXN-15891
ALL-CHORISMATE-PWY	SHIKIMATE-5-DEHYDROGENASE-RXN	SHIKIMATE-KINASE-RXN
ALL-CHORISMATE-PWY	SHIKIMATE-KINASE-RXN	2.5.1.19-RXN
ARG+POLYAMINE-SYN	ACETYLGLUTKIN-RXN	N-ACETYLGLUTPREDUCT-RXN
ARG+POLYAMINE-SYN	ACETYLORNDEACET-RXN	ORNCARBAMTRANSFER-RXN
ARG+POLYAMINE-SYN	ACETYLORNTRANSAM-RXN	ACETYLORNDEACET-RXN
ARG+POLYAMINE-SYN	AGMATIN-RXN	SPERMIDINESYN-RXN
ARG+POLYAMINE-SYN	ARGDECARBOX-RXN	AGMATIN-RXN
ARG+POLYAMINE-SYN	ARGSUCCINLYA-RXN	ARGDECARBOX-RXN
ARG+POLYAMINE-SYN	ARGSUCCINSYN-RXN	ARGSUCCINLYA-RXN
ARG+POLYAMINE-SYN	CARBPSYN-RXN	ORNCARBAMTRANSFER-RXN
ARG+POLYAMINE-SYN	LYSDECARBOX-RXN	RXN0-5217
ARG+POLYAMINE-SYN	N-ACETYLGLUTPREDUCT-RXN	ACETYLORNTRANSAM-RXN
ARG+POLYAMINE-SYN	N-ACETYLTRANSFER-RXN	ACETYLGLUTKIN-RXN
ARG+POLYAMINE-SYN	ORNCARBAMTRANSFER-RXN	ARGSUCCINSYN-RXN
ARG+POLYAMINE-SYN	ORNDECARBOX-RXN	SPERMIDINESYN-RXN
ARG+POLYAMINE-SYN	SAMDECARB-RXN	RXN0-5217
ARG+POLYAMINE-SYN	SAMDECARB-RXN	SPERMIDINESYN-RXN
ARGDEG-PWY	AGMATIN-RXN	PUTTRANSAM-RXN
ARGDEG-PWY	AGMATIN-RXN	RXN0-3901
ARGDEG-PWY	AMINOBUTDEHYDROG-RXN	GABATRANSAM-RXN
ARGDEG-PWY	ARGDECARBOX-RXN	AGMATIN-RXN
ARGDEG-PWY	GABATRANSAM-RXN	SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
ARGDEG-PWY	GABATRANSAM-RXN	SUCCSEMIALDDEHYDROG-RXN
ARGDEG-PWY	PUTTRANSAM-RXN	AMINOBUTDEHYDROG-RXN
ARGDEG-PWY	RXN0-3901	RXN0-3921
ARGDEG-PWY	RXN0-3921	RXN0-3922
ARGDEG-PWY	RXN0-3922	RXN0-3942
ARGDEG-PWY	RXN0-3942	GABATRANSAM-RXN
ARGSYN-PWY	ACETYLGLUTKIN-RXN	N-ACETYLGLUTPREDUCT-RXN
ARGSYN-PWY	ACETYLORNDEACET-RXN	ORNCARBAMTRANSFER-RXN
ARGSYN-PWY	ACETYLORNTRANSAM-RXN	ACETYLORNDEACET-RXN
ARGSYN-PWY	ARGSUCCINSYN-RXN	ARGSUCCINLYA-RXN
ARGSYN-PWY	CARBPSYN-RXN	ORNCARBAMTRANSFER-RXN
ARGSYN-PWY	N-ACETYLGLUTPREDUCT-RXN	ACETYLORNTRANSAM-RXN
ARGSYN-PWY	N-ACETYLTRANSFER-RXN	ACETYLGLUTKIN-RXN
ARGSYN-PWY	ORNCARBAMTRANSFER-RXN	ARGSUCCINSYN-RXN
ARO-PWY	2.5.1.19-RXN	CHORISMATE-SYNTHASE-RXN
ARO-PWY	3-DEHYDROQUINATE-DEHYDRATASE-RXN	SHIKIMATE-5-DEHYDROGENASE-RXN
ARO-PWY	3-DEHYDROQUINATE-SYNTHASE-RXN	3-DEHYDROQUINATE-DEHYDRATASE-RXN
ARO-PWY	DAHPSYN-RXN	3-DEHYDROQUINATE-SYNTHASE-RXN
ARO-PWY	SHIKIMATE-5-DEHYDROGENASE-RXN	SHIKIMATE-KINASE-RXN
ARO-PWY	SHIKIMATE-KINASE-RXN	2.5.1.19-RXN
ASPASN-PWY	ASNSYNA-RXN	ASPARAGHYD-RXN
ASPASN-PWY	ASPAMINOTRANS-RXN	ASNSYNA-RXN
ASPASN-PWY	ASPAMINOTRANS-RXN	ASPARTASE-RXN
ASPASN-PWY	ASPARTASE-RXN	ASNSYNA-RXN
BIOTIN-BIOSYNTHESIS-PWY	DAPASYN-RXN	DETHIOBIOTIN-SYN-RXN
BIOTIN-BIOSYNTHESIS-PWY	DETHIOBIOTIN-SYN-RXN	RXN-17472
BIOTIN-BIOSYNTHESIS-PWY	RXN-11474	RXN-11476
BIOTIN-BIOSYNTHESIS-PWY	RXN-11475	RXN-11474
BIOTIN-BIOSYNTHESIS-PWY	RXN-11476	RXN-11477
BIOTIN-BIOSYNTHESIS-PWY	RXN-11477	RXN-11478
BIOTIN-BIOSYNTHESIS-PWY	RXN-11478	RXN-11479
BIOTIN-BIOSYNTHESIS-PWY	RXN-11479	RXN-11480
BIOTIN-BIOSYNTHESIS-PWY	RXN-11480	RXN-11481
BIOTIN-BIOSYNTHESIS-PWY	RXN-11481	RXN-11482
BIOTIN-BIOSYNTHESIS-PWY	RXN-11482	RXN-11483
BIOTIN-BIOSYNTHESIS-PWY	RXN-11483	RXN-11484
BIOTIN-BIOSYNTHESIS-PWY	RXN-11484	DAPASYN-RXN
BIOTIN-BIOSYNTHESIS-PWY	RXN-17472	RXN-17473
BRANCHED-CHAIN-AA-SYN-PWY	2-ISOPROPYLMALATESYN-RXN	3-ISOPROPYLMALISOM-RXN
BRANCHED-CHAIN-AA-SYN-PWY	3-ISOPROPYLMALDEHYDROG-RXN	RXN-7800
BRANCHED-CHAIN-AA-SYN-PWY	3-ISOPROPYLMALISOM-RXN	RXN-8991
BRANCHED-CHAIN-AA-SYN-PWY	ACETOLACTREDUCTOISOM-RXN	DIHYDROXYISOVALDEHYDRAT-RXN
BRANCHED-CHAIN-AA-SYN-PWY	ACETOLACTSYN-RXN	ACETOLACTREDUCTOISOM-RXN
BRANCHED-CHAIN-AA-SYN-PWY	ACETOOHBUTREDUCTOISOM-RXN	DIHYDROXYMETVALDEHYDRAT-RXN
BRANCHED-CHAIN-AA-SYN-PWY	ACETOOHBUTSYN-RXN	ACETOOHBUTREDUCTOISOM-RXN
BRANCHED-CHAIN-AA-SYN-PWY	DIHYDROXYISOVALDEHYDRAT-RXN	2-ISOPROPYLMALATESYN-RXN
BRANCHED-CHAIN-AA-SYN-PWY	DIHYDROXYISOVALDEHYDRAT-RXN	BRANCHED-CHAINAMINOTRANSFERVAL-RXN
BRANCHED-CHAIN-AA-SYN-PWY	DIHYDROXYMETVALDEHYDRAT-RXN	BRANCHED-CHAINAMINOTRANSFERILEU-RXN
BRANCHED-CHAIN-AA-SYN-PWY	RXN-15122	ACETOOHBUTSYN-RXN
BRANCHED-CHAIN-AA-SYN-PWY	RXN-15122	RXN-15121
BRANCHED-CHAIN-AA-SYN-PWY	RXN-15122	RXN-15123
BRANCHED-CHAIN-AA-SYN-PWY	RXN-15123	ACETOOHBUTSYN-RXN
BRANCHED-CHAIN-AA-SYN-PWY	RXN-7800	BRANCHED-CHAINAMINOTRANSFERLEU-RXN
BRANCHED-CHAIN-AA-SYN-PWY	RXN-8991	3-ISOPROPYLMALDEHYDROG-RXN
COBALSYN-PWY	COBALAMIN5PSYN-RXN	RXN-8770
COBALSYN-PWY	COBINAMIDEKIN-RXN	COBINPGUANYLYLTRANS-RXN
COBALSYN-PWY	COBINPGUANYLYLTRANS-RXN	COBALAMIN5PSYN-RXN
COBALSYN-PWY	DMBPPRIBOSYLTRANS-RXN	COBALAMIN5PSYN-RXN
COBALSYN-PWY	RXN-19338	RXN-19343
COBALSYN-PWY	RXN-19342	RXN-19338
COBALSYN-PWY	RXN-19343	COBINAMIDEKIN-RXN
COLANSYN-PWY	2.7.7.13-RXN	GDPMANDEHYDRA-RXN
COLANSYN-PWY	FCLEPIM-RXN	FCLREDUCT-RXN
COLANSYN-PWY	GDPMANDEHYDRA-RXN	FCLEPIM-RXN
COLANSYN-PWY	GLUC1PURIDYLTRANS-RXN	UDPGLUCEPIM-RXN
COLANSYN-PWY	GLUC1PURIDYLTRANS-RXN	UGD-RXN
COLANSYN-PWY	MANNPISOM-RXN	PHOSMANMUT-RXN
COLANSYN-PWY	PGLUCISOM-RXN	MANNPISOM-RXN
COLANSYN-PWY	PHOSMANMUT-RXN	2.7.7.13-RXN
COLANSYN-PWY	PHOSPHOGLUCMUT-RXN	GLUC1PURIDYLTRANS-RXN
COMPLETE-ARO-PWY	2.5.1.19-RXN	CHORISMATE-SYNTHASE-RXN
COMPLETE-ARO-PWY	3-DEHYDROQUINATE-DEHYDRATASE-RXN	SHIKIMATE-5-DEHYDROGENASE-RXN
COMPLETE-ARO-PWY	3-DEHYDROQUINATE-SYNTHASE-RXN	3-DEHYDROQUINATE-DEHYDRATASE-RXN
COMPLETE-ARO-PWY	ANTHRANSYN-RXN	PRTRANS-RXN
COMPLETE-ARO-PWY	CHORISMATE-SYNTHASE-RXN	ANTHRANSYN-RXN
COMPLETE-ARO-PWY	CHORISMATE-SYNTHASE-RXN	CHORISMATEMUT-RXN
COMPLETE-ARO-PWY	CHORISMATEMUT-RXN	PREPHENATEDEHYDRAT-RXN
COMPLETE-ARO-PWY	CHORISMATEMUT-RXN	PREPHENATEDEHYDROG-RXN
COMPLETE-ARO-PWY	DAHPSYN-RXN	3-DEHYDROQUINATE-SYNTHASE-RXN
COMPLETE-ARO-PWY	IGPSYN-RXN	RXN0-2381
COMPLETE-ARO-PWY	PRAISOM-RXN	IGPSYN-RXN
COMPLETE-ARO-PWY	PREPHENATEDEHYDRAT-RXN	RXN-10814
COMPLETE-ARO-PWY	PREPHENATEDEHYDROG-RXN	TYROSINE-AMINOTRANSFERASE-RXN
COMPLETE-ARO-PWY	PRTRANS-RXN	PRAISOM-RXN
COMPLETE-ARO-PWY	RXN0-2381	RXN0-2382
COMPLETE-ARO-PWY	SHIKIMATE-5-DEHYDROGENASE-RXN	SHIKIMATE-KINASE-RXN
COMPLETE-ARO-PWY	SHIKIMATE-KINASE-RXN	2.5.1.19-RXN
DENOVOPURINE2-PWY	ADENYL-KIN-RXN	ADPREDUCT-RXN
DENOVOPURINE2-PWY	ADENYL-KIN-RXN	RXN0-747
DENOVOPURINE2-PWY	ADENYLOSUCCINATE-SYNTHASE-RXN	AMPSYN-RXN
DENOVOPURINE2-PWY	ADPREDUCT-RXN	DADPKIN-RXN
DENOVOPURINE2-PWY	AICARSYN-RXN	AICARTRANSFORM-RXN
DENOVOPURINE2-PWY	AICARTRANSFORM-RXN	IMPCYCLOHYDROLASE-RXN
DENOVOPURINE2-PWY	AIRS-RXN	RXN0-742
DENOVOPURINE2-PWY	AMPSYN-RXN	ADENYL-KIN-RXN
DENOVOPURINE2-PWY	DADPKIN-RXN	RXN0-745
DENOVOPURINE2-PWY	DGDPKIN-RXN	RXN0-746
DENOVOPURINE2-PWY	FGAMSYN-RXN	AIRS-RXN
DENOVOPURINE2-PWY	GARTRANSFORMYL2-RXN	FGAMSYN-RXN
DENOVOPURINE2-PWY	GDPKIN-RXN	RXN0-746
DENOVOPURINE2-PWY	GDPREDUCT-RXN	DGDPKIN-RXN
DENOVOPURINE2-PWY	GLYRIBONUCSYN-RXN	GARTRANSFORMYL2-RXN
DENOVOPURINE2-PWY	GMP-SYN-GLUT-RXN	GUANYL-KIN-RXN
DENOVOPURINE2-PWY	GUANYL-KIN-RXN	GDPKIN-RXN
DENOVOPURINE2-PWY	GUANYL-KIN-RXN	GDPREDUCT-RXN
DENOVOPURINE2-PWY	GUANYL-KIN-RXN	RXN0-748
DENOVOPURINE2-PWY	IMP-DEHYDROG-RXN	GMP-SYN-GLUT-RXN
DENOVOPURINE2-PWY	IMPCYCLOHYDROLASE-RXN	ADENYLOSUCCINATE-SYNTHASE-RXN
DENOVOPURINE2-PWY	IMPCYCLOHYDROLASE-RXN	IMP-DEHYDROG-RXN
DENOVOPURINE2-PWY	PRPPAMIDOTRANS-RXN	GLYRIBONUCSYN-RXN
DENOVOPURINE2-PWY	RXN0-742	RXN0-743
DENOVOPURINE2-PWY	RXN0-743	SAICARSYN-RXN
DENOVOPURINE2-PWY	RXN0-747	DADPKIN-RXN
DENOVOPURINE2-PWY	RXN0-748	DGDPKIN-RXN
DENOVOPURINE2-PWY	SAICARSYN-RXN	AICARSYN-RXN
ENTBACSYN-PWY	DHBAMPLIG-RXN	RXN0-6442
ENTBACSYN-PWY	DHBDEHYD-RXN	DHBAMPLIG-RXN
ENTBACSYN-PWY	ENTDB-RXN	RXN0-6442
ENTBACSYN-PWY	ENTF-RXN	RXN-15890
ENTBACSYN-PWY	ISOCHORMAT-RXN	DHBDEHYD-RXN
ENTBACSYN-PWY	ISOCHORSYN-RXN	ISOCHORMAT-RXN
ENTBACSYN-PWY	RXN-15889	RXN-15890
ENTBACSYN-PWY	RXN-15890	RXN-15891
ENTBACSYN-PWY	RXN-15891	ENTG-RXN
ENTBACSYN-PWY	RXN0-6442	RXN-15891
FASYN-INITIAL-PWY	ACP-S-ACETYLTRANSFER-RXN	3-OXOACYL-ACP-SYNTH-BASE-RXN
FASYN-INITIAL-PWY	MALONYL-ACPDECARBOX-RXN	3-OXOACYL-ACP-SYNTH-BASE-RXN
FASYN-INITIAL-PWY	MALONYL-COA-ACP-TRANSACYL-RXN	2.3.1.180-RXN
FASYN-INITIAL-PWY	MALONYL-COA-ACP-TRANSACYL-RXN	3-OXOACYL-ACP-SYNTH-BASE-RXN
FASYN-INITIAL-PWY	MALONYL-COA-ACP-TRANSACYL-RXN	MALONYL-ACPDECARBOX-RXN
FASYN-INITIAL-PWY	RXN0-5055	MALONYL-COA-ACP-TRANSACYL-RXN
FERMENTATION-PWY	ACETALD-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN
FERMENTATION-PWY	ACONITATEDEHYDR-RXN	ACONITATEHYDR-RXN
FERMENTATION-PWY	ACONITATEHYDR-RXN	ISOCITDEH-RXN
FERMENTATION-PWY	CITSYN-RXN	ACONITATEDEHYDR-RXN
FERMENTATION-PWY	FUMHYDR-RXN	R601-RXN
FERMENTATION-PWY	MALATE-DEH-RXN	FUMHYDR-RXN
FERMENTATION-PWY	PEPCARBOX-RXN	CITSYN-RXN
FERMENTATION-PWY	PEPCARBOX-RXN	MALATE-DEH-RXN
FERMENTATION-PWY	PEPDEPHOS-RXN	DLACTDEHYDROGNAD-RXN
