#Created using genes_of_rxns.pl on Monday, October 23rd, 2023.
Reaction ID	gene
PHENDEHYD-RXN	b1385
4.2.1.61-RXN	b0180
RXN0-7341	b2050
CROBETREDUCT-RXN	b0039
RXN0-303	b4090
RXN-16649	b3182
RXN-16649	b0376
RXN-16649	b2430
RXN-16649	b0839
RXN-16649	b2010
RXN-16649	b0632
RXN-16649	b0149
RXN-16649	b3396
PROTEIN-KINASE-RXN	b3859
PROTEIN-KINASE-RXN	b1783
PHOSPHOENOLPYRUVATE-PHOSPHATASE-RXN	b0383
RXN-10659	b1093
RXN0-962	b3374
DAPASYN-RXN	b0774
RXN-17823	b2213
RXN0-3521	b2254
RXN-9533	b0180
PRIBFAICARPISOM-RXN	b2024
RXN-9660	b1288
SELENOCYSTEINE-LYASE-RXN	b1680
DEOXYNUCLEOTIDE-3-PHOSPHATASE-RXN	b4055
RXN0-4022	b2794
RXN-17392	b2963
RXN-17392	b2701
RXN-17392	b0211
RXN-17392	b1193
RXN-17392	b4392
PYRAMKIN-RXN	b2418
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	b1525
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	b1300
DIENOYLCOAREDUCT-RXN	b3081
2.7.3.9-RXN	b2416
BIOTINLIG-RXN	b3973
QUINOPRIBOTRANS-RXN	b0109
CITRYLY-RXN	b0616
CITRYLY-RXN	b0615
CITRYLY-RXN	b0617
THI-P-SYN-RXN	b3993
GCVP-RXN	b2903
DNA-DIRECTED-DNA-POLYMERASE-RXN	b0231
DNA-DIRECTED-DNA-POLYMERASE-RXN	b0184
DNA-DIRECTED-DNA-POLYMERASE-RXN	b0060
DNA-DIRECTED-DNA-POLYMERASE-RXN	b1183
DNA-DIRECTED-DNA-POLYMERASE-RXN	b1184
DNA-DIRECTED-DNA-POLYMERASE-RXN	b3863
MYRISTOYLACYLTRAN-RXN	b1855
RXN0-5101	b1650
RXN-17782	b3845
RXN-17782	b2342
RXN-11361	b0826
RIBOFLAVINSYNDEAM-RXN	b0414
ENOYL-COA-HYDRAT-RXN	b2341
ENOYL-COA-HYDRAT-RXN	b3846
RXN0-5131	b0256
RXN0-5131	b1404
RXN0-5131	b4284
RXN-8629	b0116
RXN-9537	b0180
RXN-9663	b1288
RXN0-2141	b2323
FHLMULTI-RXN	b4079
FHLMULTI-RXN	b2721
