# pathway	length	TF	fraction	ocurrences	unknowns	other_TFs	subrout	other_TFs_id
COBALSYN-PWY	7	Nac	0.2857142857142857	2	5	0	['RXN-19342', 'RXN-19338', 'RXN-19343', 'COBINAMIDEKIN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBALAMIN5PSYN-RXN', 'RXN-8770']	
COBALSYN-PWY	6	Nac	0.3333333333333333	2	4	0	['RXN-19342', 'RXN-19338', 'RXN-19343', 'COBINAMIDEKIN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBALAMIN5PSYN-RXN']	
COBALSYN-PWY	6	Nac	0.3333333333333333	2	4	0	['RXN-19338', 'RXN-19343', 'COBINAMIDEKIN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBALAMIN5PSYN-RXN', 'RXN-8770']	
COBALSYN-PWY	5	Nac	0.4	2	3	0	['RXN-19342', 'RXN-19338', 'RXN-19343', 'COBINAMIDEKIN-RXN', 'COBINPGUANYLYLTRANS-RXN']	
COBALSYN-PWY	5	Nac	0.4	2	3	0	['RXN-19338', 'RXN-19343', 'COBINAMIDEKIN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBALAMIN5PSYN-RXN']	
COBALSYN-PWY	5	Nac	0.4	2	3	0	['RXN-19343', 'COBINAMIDEKIN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBALAMIN5PSYN-RXN', 'RXN-8770']	
COBALSYN-PWY	4	Nac	0.25	1	3	0	['RXN-19342', 'RXN-19338', 'RXN-19343', 'COBINAMIDEKIN-RXN']	
COBALSYN-PWY	4	Nac	0.5	2	2	0	['RXN-19338', 'RXN-19343', 'COBINAMIDEKIN-RXN', 'COBINPGUANYLYLTRANS-RXN']	
COBALSYN-PWY	4	Nac	0.5	2	2	0	['RXN-19343', 'COBINAMIDEKIN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBALAMIN5PSYN-RXN']	
COBALSYN-PWY	4	Nac	0.5	2	2	0	['COBINAMIDEKIN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBALAMIN5PSYN-RXN', 'RXN-8770']	
COBALSYN-PWY	3	unknown	1.0	3	3	0	['RXN-19342', 'RXN-19338', 'RXN-19343']	
COBALSYN-PWY	3	Nac	0.3333333333333333	1	2	0	['RXN-19338', 'RXN-19343', 'COBINAMIDEKIN-RXN']	
COBALSYN-PWY	3	Nac	0.6666666666666666	2	1	0	['RXN-19343', 'COBINAMIDEKIN-RXN', 'COBINPGUANYLYLTRANS-RXN']	
COBALSYN-PWY	3	Nac	0.6666666666666666	2	1	0	['COBINAMIDEKIN-RXN', 'COBINPGUANYLYLTRANS-RXN', 'COBALAMIN5PSYN-RXN']	
COBALSYN-PWY	3	Nac	0.3333333333333333	1	2	0	['COBINPGUANYLYLTRANS-RXN', 'COBALAMIN5PSYN-RXN', 'RXN-8770']	
COBALSYN-PWY	2	unknown	1.0	2	2	0	['RXN-19342', 'RXN-19338']	
COBALSYN-PWY	2	unknown	1.0	2	2	0	['RXN-19338', 'RXN-19343']	
COBALSYN-PWY	2	Nac	0.5	1	1	0	['RXN-19343', 'COBINAMIDEKIN-RXN']	
COBALSYN-PWY	2	Nac	1.0	2	0	0	['COBINAMIDEKIN-RXN', 'COBINPGUANYLYLTRANS-RXN']	
COBALSYN-PWY	2	Nac	0.5	1	1	0	['COBINPGUANYLYLTRANS-RXN', 'COBALAMIN5PSYN-RXN']	
